variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v20_lista_completa_meio_raciocinio_primeiro,0.0,00000,kkkkk,0,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,00001,kkkkz,1,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,00010,kkkzk,1,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,00011,kkkzz,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,00100,kkzkk,1,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,00101,kkzkz,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,00110,kkzzk,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,00111,kkzzz,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,01000,kzkkk,1,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,01001,kzkkz,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,01010,kzkzk,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,01011,kzkzz,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,01100,kzzkk,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,01101,kzzkz,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,01110,kzzzk,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,01111,kzzzz,4,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,10000,zkkkk,1,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,10001,zkkkz,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,10010,zkkzk,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,10011,zkkzz,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,10100,zkzkk,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,10101,zkzkz,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,10110,zkzzk,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,10111,zkzzz,4,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,11000,zzkkk,2,0
v20_lista_completa_meio_raciocinio_primeiro,0.0,11001,zzkkz,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,11010,zzkzk,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,11011,zzkzz,4,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,11100,zzzkk,3,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,11101,zzzkz,4,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,11110,zzzzk,4,1
v20_lista_completa_meio_raciocinio_primeiro,0.0,11111,zzzzz,5,1
